Aaron Rodgers
Andre the Giant
Arnold Schwarzenegger
Ayrton Senna
Babe Ruth
Barry Bonds
Barry Sanders
Bo Jackson
Brock Lesnar
Bruce Lee
Canelo Álvarez
Carl Lewis
Chloe Kim
Conor McGregor
Cristiano Ronaldo
Dale Earnhardt
David Beckham
Deion Sanders
Derek Jeter
Diego Maradona
Dwayne Johnson
Evander Holyfield
Florence Griffith Joyner
Floyd Mayweather Jr.
George Foreman
Gina Carano
Hank Aaron
Hulk Hogan
Jackie Chan
Jackie Robinson
Jake Paul
Jerry Rice
Jesse Owens
Jim Brown
Joe Montana
John Cena
Katie Ledecky
Kelly Slater
Ken Griffey Jr.
Kobe Bryant
Kylian Mbappé
Lance Armstrong
Lawrence Taylor
LeBron James
Lewis Hamilton
Lindsey Vonn
Lionel Messi
Manny Pacquiao
Maria Sharapova
Max Verstappen
Michael Jordan
Michael Phelps
Michael Schumacher
Mike Tyson
Muhammad Ali
Naomi Osaka
Neymar Jr.
Novak Djokovic
Patrick Mahomes
Pelé
Peyton Manning
Rafael Nadal
Reggie White
Roger Federer
Ronaldinho
Ronda Rousey
Serena Williams
Shaquille O’Neal
Shaun White
Sidney Crosby
Simone Biles
Stephen Curry
The Undertaker
Tiger Woods
Tom Brady
Tommy Fury
Tony Hawk
Usain Bolt
Valentino Rossi
Venus Williams
Walter Payton
Wayne Gretzky
Zinedine Zidane
